text,sentiment,certainty,language,source
"Best festival I have ever been to, absolutely loved it!",Positive,high,en,curated_hard_cases
"Super, vielen Dank für die schnelle Hilfe!",Positive,high,de,curated_hard_cases
"Das klingt fantastisch, ich freue mich riesig!",Positive,high,de,curated_hard_cases
"Génial, merci beaucoup pour votre aide !",Positive,high,fr,curated_hard_cases
Hoe krijg ik jou weg,Negative (frustrated),high,nl,curated_hard_cases
"Hoe zet ik dit uit, ik wil geen berichten meer van je.",Negative (frustrated),high,nl,curated_hard_cases
"Laat me met rust, ik heb hier niet om gevraagd.",Negative (frustrated),high,nl,curated_hard_cases
"Stop met die berichten alsjeblieft, ik word er gek van.",Negative (frustrated),high,nl,curated_hard_cases
Kan ik gewoon een mens spreken in plaats van deze bot?,Negative (frustrated),high,nl,curated_hard_cases
Ik wil niet met een robot praten.,Negative (frustrated),high,nl,curated_hard_cases
Hou op met spammen.,Negative (frustrated),high,nl,curated_hard_cases
How do I get rid of you?,Negative (frustrated),high,en,curated_hard_cases
"Stop sending me these messages, I never signed up for this.",Negative (frustrated),high,en,curated_hard_cases
Can I talk to an actual human instead of this bot?,Negative (frustrated),high,en,curated_hard_cases
Leave me alone please.,Negative (frustrated),high,en,curated_hard_cases
Wie werde ich diese Nachrichten wieder los?,Negative (frustrated),high,de,curated_hard_cases
Die is er dus niet,Negative (frustrated),borderline,nl,curated_hard_cases
"Dus dat werkt niet, fijn.",Negative (frustrated),borderline,nl,curated_hard_cases
Dat nummer bestaat helemaal niet.,Negative (frustrated),borderline,nl,curated_hard_cases
"Nummer is niet beschikbaar, dat werkt dus niet.",Negative (frustrated),borderline,nl,curated_hard_cases
Dus ik kom er niet uit zo.,Negative (frustrated),borderline,nl,curated_hard_cases
"Ik heb het geprobeerd, werkt niet, en nu?",Negative (frustrated),borderline,nl,curated_hard_cases
Dat had je ook meteen kunnen zeggen.,Negative (frustrated),borderline,nl,curated_hard_cases
"Ja dat weet ik al, daar vroeg ik niet naar.",Negative (frustrated),high,nl,curated_hard_cases
"Nee dat klopt niet, je begrijpt me niet.",Negative (frustrated),high,nl,curated_hard_cases
Je snapt mijn vraag niet.,Negative (frustrated),high,nl,curated_hard_cases
Dat is niet wat ik vroeg.,Negative (frustrated),high,nl,curated_hard_cases
So that does not exist then.,Negative (frustrated),borderline,en,curated_hard_cases
That is not what I asked you.,Negative (frustrated),high,en,curated_hard_cases
You are not understanding my question at all.,Negative (frustrated),high,en,curated_hard_cases
Well that was useless.,Negative (frustrated),high,en,curated_hard_cases
"Tried it, does not work, now what?",Negative (frustrated),borderline,en,curated_hard_cases
"Hoi! Wij komen dit weekend voor het eerst, super leuk.",Positive,high,nl,curated_hard_cases
"Goedemorgen! We zijn van plan vandaag te komen, waar parkeren we?",Positive,borderline,nl,curated_hard_cases
"Hey! Ik verheug me er nu al op, hoe laat gaan de deuren open?",Positive,high,nl,curated_hard_cases
Hallo daar! Leuk dat jullie dit doen.,Positive,high,nl,curated_hard_cases
Ik heb er echt zin in! Mag ik nog iets vragen?,Positive,high,nl,curated_hard_cases
"Wat leuk dat er dit jaar weer een editie is, ik kom zeker.",Positive,high,nl,curated_hard_cases
"Ik zie er iets gaafs varen op het water, kan ik daar ook mee?",Positive,borderline,nl,curated_hard_cases
Klinkt goed! Doe mij maar de link.,Positive,borderline,nl,curated_hard_cases
Ik wil graag de recap zien! 😀,Positive,high,nl,curated_hard_cases
Mag ik alsjeblieft de foto's zien? 🙏,Positive,borderline,nl,curated_hard_cases
"Leuke chat trouwens, werkt fijn.",Positive,high,nl,curated_hard_cases
Kun je voor elk podium een danspasje verzinnen? 😄,Positive,high,nl,curated_hard_cases
"Grappig idee, doe maar!",Positive,high,nl,curated_hard_cases
"Fijn, dat scheelt weer.",Positive,borderline,nl,curated_hard_cases
"Mooi zo, dan weten we dat.",Positive,borderline,nl,curated_hard_cases
"Helemaal top, tot dit weekend!",Positive,high,nl,curated_hard_cases
Hi there! Really looking forward to this weekend.,Positive,high,en,curated_hard_cases
"Hey! First time visiting, so excited about it.",Positive,high,en,curated_hard_cases
"Hello! We are planning to come today, where do we park?",Positive,borderline,en,curated_hard_cases
I would love to see the recap! 😀,Positive,high,en,curated_hard_cases
"Sounds great, send it over!",Positive,borderline,en,curated_hard_cases
"Nice, that makes it a lot easier.",Positive,borderline,en,curated_hard_cases
Can you match a cake recipe step to each stage? 😄,Positive,high,en,curated_hard_cases
"Lovely, thanks for that.",Positive,high,en,curated_hard_cases
"Great, see you this weekend!",Positive,high,en,curated_hard_cases
"Salut ! Nous venons pour la première fois, trop bien.",Positive,high,fr,curated_hard_cases
Bonjour ! On a hâte d'y être.,Positive,high,fr,curated_hard_cases
Hallo! Wir freuen uns schon riesig auf das Wochenende.,Positive,high,de,curated_hard_cases
"Servus! Wir kommen heute, wo parken wir?",Positive,borderline,de,curated_hard_cases
"Goedemorgen, waar kan ik parkeren?",Neutral (task-oriented),high,nl,curated_hard_cases
"Hallo, hoe laat gaat het terrein open?",Neutral (task-oriented),high,nl,curated_hard_cases
"Hoi, mijn zoon zit in een rolstoel. Is er een aangepaste plek?",Neutral (task-oriented),high,nl,curated_hard_cases
"Hey, waar is de shuttlebus halte?",Neutral (task-oriented),high,nl,curated_hard_cases
"Hello, what time does the campsite close?",Neutral (task-oriented),high,en,curated_hard_cases
"Hi, where can I find the lockers?",Neutral (task-oriented),high,en,curated_hard_cases
"Guten Tag, wo finde ich den Informationspunkt?",Neutral (task-oriented),high,de,curated_hard_cases
"Bonjour, où se trouve la consigne ?",Neutral (task-oriented),high,fr,curated_hard_cases
